id,gt_latitude,gt_longitude,grid_latitude,grid_longitude,year,month,rainfall_mm
1,15.95914,74.537516,16.0,74.5,2023,1,0.02
1,15.95914,74.537516,16.0,74.5,2023,2,0.0
1,15.95914,74.537516,16.0,74.5,2023,3,0.05
1,15.95914,74.537516,16.0,74.5,2023,4,13.48
1,15.95914,74.537516,16.0,74.5,2023,5,36.75
1,15.95914,74.537516,16.0,74.5,2023,6,178.28
1,15.95914,74.537516,16.0,74.5,2023,7,734.96
1,15.95914,74.537516,16.0,74.5,2023,8,114.18
1,15.95914,74.537516,16.0,74.5,2023,9,245.54
1,15.95914,74.537516,16.0,74.5,2023,10,42.95
1,15.95914,74.537516,16.0,74.5,2023,11,33.79
1,15.95914,74.537516,16.0,74.5,2023,12,0.82
1,15.95914,74.537516,16.0,74.5,2024,1,3.1
1,15.95914,74.537516,16.0,74.5,2024,2,0.0
1,15.95914,74.537516,16.0,74.5,2024,3,0.25
1,15.95914,74.537516,16.0,74.5,2024,4,47.02
1,15.95914,74.537516,16.0,74.5,2024,5,76.7
1,15.95914,74.537516,16.0,74.5,2024,6,387.92
1,15.95914,74.537516,16.0,74.5,2024,7,1016.11
1,15.95914,74.537516,16.0,74.5,2024,8,383.44
1,15.95914,74.537516,16.0,74.5,2024,9,306.03
1,15.95914,74.537516,16.0,74.5,2024,10,341.90000000000003
1,15.95914,74.537516,16.0,74.5,2024,11,6.35
1,15.95914,74.537516,16.0,74.5,2024,12,8.83
2,15.334816,75.604707,15.25,75.5,2023,1,0.01
2,15.334816,75.604707,15.25,75.5,2023,2,0.0
2,15.334816,75.604707,15.25,75.5,2023,3,0.63
2,15.334816,75.604707,15.25,75.5,2023,4,32.68
2,15.334816,75.604707,15.25,75.5,2023,5,53.76
2,15.334816,75.604707,15.25,75.5,2023,6,29.48
2,15.334816,75.604707,15.25,75.5,2023,7,175.64
2,15.334816,75.604707,15.25,75.5,2023,8,73.97999999999999
2,15.334816,75.604707,15.25,75.5,2023,9,119.56
2,15.334816,75.604707,15.25,75.5,2023,10,8.1
2,15.334816,75.604707,15.25,75.5,2023,11,47.35
2,15.334816,75.604707,15.25,75.5,2023,12,1.3
2,15.334816,75.604707,15.25,75.5,2024,1,6.0600000000000005
2,15.334816,75.604707,15.25,75.5,2024,2,0.0
2,15.334816,75.604707,15.25,75.5,2024,3,0.93
2,15.334816,75.604707,15.25,75.5,2024,4,47.5
2,15.334816,75.604707,15.25,75.5,2024,5,76.28
2,15.334816,75.604707,15.25,75.5,2024,6,149.23000000000002
2,15.334816,75.604707,15.25,75.5,2024,7,156.29
2,15.334816,75.604707,15.25,75.5,2024,8,132.6
2,15.334816,75.604707,15.25,75.5,2024,9,148.3
2,15.334816,75.604707,15.25,75.5,2024,10,200.0
2,15.334816,75.604707,15.25,75.5,2024,11,4.02
2,15.334816,75.604707,15.25,75.5,2024,12,15.11
