date,T_mean,T_max,T_min,RH2M,WS2M,Rs,precipitation,ETo_hargreaves
2023-01-01,23.03304347826087,31.625217391304346,15.77586956521739,54.544347826086955,1.1415217391304346,17.38,0.0,2.647801415060156
2023-01-02,22.838043478260868,31.48891304347826,15.52586956521739,59.00565217391305,1.7569565217391303,17.808043478260867,0.0,2.7116965599895195
2023-01-03,23.294999999999998,30.925434782608693,16.424565217391304,62.408478260869565,1.553695652173913,16.792608695652174,0.0,2.4640174152144354
2023-01-04,23.355434782608693,30.80652173913043,16.88826086956522,60.761086956521744,1.708913043478261,16.694782608695654,0.0,2.40370697626051
2023-01-05,22.86586956521739,30.332608695652173,16.944347826086954,60.061521739130434,2.914782608695652,17.17695652173913,0.0,2.397485816673348
2023-01-06,23.054782608695653,29.721739130434784,17.492608695652173,62.97152173913044,3.2441304347826083,15.603695652173913,0.0,2.093384250038139
2023-01-07,22.37586956521739,29.300217391304347,16.898913043478263,63.910869565217396,2.46,12.030869565217392,0.0,1.5963930168498837
2023-01-08,21.36608695652174,29.975869565217394,15.119782608695653,50.04282608695653,2.294782608695652,18.72173913043478,0.0,2.649819207295769
2023-01-09,19.919565217391305,30.38913043478261,11.249347826086957,35.331739130434784,2.0954347826086956,20.731521739130436,0.0,3.2087662663284866
2023-01-10,20.653478260869566,31.585434782608697,11.87608695652174,41.32282608695652,2.088913043478261,20.455,0.0,3.2752619129684337
2023-01-11,21.648478260869563,32.29630434782609,12.367391304347825,45.48521739130435,1.3967391304347827,19.868695652173916,0.0,3.282549531672488
2023-01-12,22.50586956521739,32.67021739130435,13.660869565217391,37.46891304347826,1.1773913043478261,19.89304347826087,0.0,3.2798120359026073
2023-01-13,22.27913043478261,32.290652173913045,12.994347826086956,36.61217391304348,1.1458695652173914,19.550652173913043,0.0,3.2279006928635368
2023-01-14,22.47195652173913,32.25630434782609,13.507826086956522,41.21804347826087,1.0632608695652175,19.636521739130433,0.0,3.2119487861050944
2023-01-15,22.851739130434783,33.332173913043476,14.35391304347826,39.34739130434782,1.5015217391304347,20.14021739130435,0.0,3.3452818078449864
2023-01-16,22.76717391304348,33.31369565217391,14.017826086956523,40.545434782608694,1.2721739130434784,20.99478260869565,0.0,3.5093867721359366
2023-01-17,22.181521739130435,33.27130434782609,12.798913043478262,40.03521739130434,1.6028260869565218,21.21391304347826,0.0,3.5999284180160713
2023-01-18,22.34130434782609,33.03934782608695,12.98217391304348,42.80739130434783,1.7284782608695652,21.143695652173914,0.0,3.565659932615099
2023-01-19,22.569782608695654,32.60065217391305,14.04586956521739,43.74608695652174,2.0960869565217393,20.605217391304347,0.0,3.3620251072127725
2023-01-20,22.49478260869565,32.10086956521739,14.369130434782608,41.956304347826084,2.291086956521739,20.385652173913044,0.0,3.2451399691944376
2023-01-21,22.516739130434782,31.714130434782607,14.48,50.15,1.7982608695652174,19.167826086956524,0.0,3.0097903872076257
2023-01-22,22.729999999999997,31.789347826086956,14.823478260869566,47.6904347826087,1.9713043478260872,20.046739130434784,0.0,3.139689015919512
2023-01-23,23.33717391304348,32.82826086956522,15.450434782608696,51.28130434782609,2.287608695652174,19.858695652173914,0.0,3.1947529277612636
2023-01-24,24.323478260869564,32.299565217391304,16.873260869565218,57.869565217391305,1.6876086956521739,16.77521739130435,0.0006521739130434782,2.6026756469318713
2023-01-25,24.76760869565217,31.954782608695655,18.691739130434783,55.14239130434783,2.095869565217391,17.27195652173913,0.012826086956521739,2.5135027236448284
2023-01-26,24.42369565217391,33.39282608695652,16.69086956521739,47.41152173913043,1.8532608695652173,19.687391304347827,0.0,3.1868444838524903
